step,population,mean_energy,food
10,25,260.6,492
20,25,375.6,422
30,25,473.8,366
40,25,540.8,336
50,25,635.4,283
60,25,716.8,241
70,25,786.2,209
80,25,848.4,183
90,25,898.6,167
100,25,942.8,156
110,25,997.8,136
120,25,1030.0,135
130,25,1080.2,119
140,25,1114.8,116
150,25,1150.6,112
160,25,1184.0,110
170,25,1213.8,111
180,25,1243.6,112
190,25,1285.4,103
200,25,1327.2,94
210,25,1377.4,78
220,25,1409.6,77
230,25,1429.8,86
240,25,1459.6,87
250,25,1487.0,90
260,25,1519.2,89
270,25,1546.6,92
280,25,1569.2,99
290,25,1595.4,103
300,25,1632.4,98
310,25,1662.2,99
320,25,1692.0,100
330,25,1726.6,97
340,25,1768.4,88
350,25,1797.0,90
360,25,1832.8,86
370,25,1874.6,77
380,25,1911.6,72
390,25,1947.4,68
400,25,1977.2,69
410,25,1998.6,77
420,25,2029.6,77
430,25,2058.2,79
440,25,2074.8,91
450,25,2102.2,94
460,25,2148.8,81
470,25,2183.4,78
480,25,2206.0,85
490,25,2234.6,87
500,25,2271.6,82
510,25,2302.6,82
520,25,2336.0,80
530,25,2371.8,76
540,25,2396.8,81
550,25,2435.0,75
560,25,2476.8,66
570,25,2504.2,69
580,25,2534.0,70
590,25,2571.0,65
600,25,2605.6,62
610,25,2629.4,68
620,25,2658.0,70
630,25,2681.8,76
640,25,2720.0,70
650,25,2751.0,70
660,25,2794.0,60
670,25,2825.0,60
680,25,2852.4,63
690,25,2881.0,65
700,25,2906.0,70
710,25,2927.4,78
720,25,2965.6,72
730,25,2990.6,77
740,25,3013.2,84
750,25,3045.4,83
760,25,3082.4,78
770,25,3126.6,67
780,25,3155.2,69
790,25,3188.6,67
800,25,3213.6,72
810,25,3261.4,58
820,25,3293.6,57
830,25,3325.8,56
840,25,3352.0,60
850,25,3380.6,62
860,25,3409.2,64
870,25,3437.8,66
880,25,3470.0,65
890,25,3496.2,69
900,25,3524.8,71
910,25,3564.2,64
920,25,3598.8,61
930,25,3634.6,57
940,25,3663.2,59
950,25,3702.6,52
960,25,3727.6,57
970,25,3751.4,63
980,25,3770.4,73
990,25,3796.6,77
1000,25,3824.0,80
1010,25,3857.4,78
1020,25,3896.8,71
1030,25,3923.0,75
1040,25,3951.6,77
1050,25,3983.8,76
1060,25,4008.8,81
1070,25,4035.0,85
1080,25,4070.8,81
1090,25,4099.4,83
1100,25,4129.2,84
1110,25,4148.2,94
1120,25,4179.2,94
1130,25,4209.0,95
1140,25,4246.0,90
1150,25,4284.2,84
1160,25,4304.4,93
1170,25,4319.8,106
1180,25,4349.6,107
1190,25,4387.8,101
1200,25,4430.8,91
1210,25,4466.6,87
1220,25,4491.6,92
1230,25,4526.2,89
1240,25,4562.0,85
1250,25,4596.6,82
1260,25,4640.8,71
1270,25,4677.8,66
1280,25,4711.2,64
1290,25,4742.2,64
1300,25,4761.2,74
1310,25,4791.0,75
1320,25,4826.8,71
1330,25,4854.2,74
1340,25,4886.4,73
1350,25,4907.8,81
1360,25,4944.8,76
1370,25,4965.0,85
1380,25,4993.6,87
1390,25,5029.4,83
1400,25,5077.2,69
1410,25,5108.2,69
1420,25,5141.6,67
1430,25,5165.4,73
1440,25,5188.0,80
1450,25,5226.2,74
1460,25,5257.2,74
1470,25,5275.0,85
1480,25,5291.6,97
1490,25,5325.0,95
1500,25,5359.6,92
1510,25,5397.8,86
1520,25,5434.8,81
1530,25,5474.2,74
1540,25,5511.2,69
1550,25,5536.2,74
1560,25,5563.6,77
1570,25,5603.0,70
1580,25,5634.0,70
1590,25,5672.2,64
1600,25,5696.0,70
1610,25,5724.6,72
1620,25,5754.4,73
1630,25,5784.2,74
1640,25,5804.4,83
1650,25,5828.2,89
1660,25,5855.6,92
1670,25,5896.2,84
1680,25,5940.4,73
1690,25,5967.8,76
1700,25,5997.6,77
1710,25,6026.2,79
1720,25,6057.2,79
1730,25,6095.4,73
1740,25,6110.8,86
1750,25,6150.2,79
1760,25,6180.0,80
1770,25,6211.0,80
1780,25,6248.0,75
1790,25,6285.0,70
1800,25,6310.0,75
1810,25,6327.8,86
1820,25,6354.0,90
1830,25,6395.8,81
1840,25,6426.8,81
1850,25,6474.6,67
1860,25,6512.8,61
1870,25,6537.8,66
1880,25,6567.6,67
1890,25,6590.2,74
1900,25,6628.4,68
1910,25,6663.0,65
1920,25,6695.2,64
1930,25,6729.8,61
1940,25,6754.8,66
1950,25,6788.2,64
1960,25,6830.0,55
1970,25,6869.4,48
1980,25,6901.6,47
1990,25,6919.4,58
2000,25,6939.6,67
2010,25,6949.0,85
2020,25,6968.0,95
2030,25,6990.6,102
2040,25,7009.6,112
2050,25,7049.0,105
2060,25,7078.8,106
2070,25,7124.2,94
2080,25,7161.2,89
2090,25,7203.0,80
2100,25,7235.2,79
2110,25,7263.8,81
2120,25,7284.0,90
2130,25,7322.2,84
2140,25,7362.8,76
2150,25,7396.2,74
2160,25,7428.4,73
2170,25,7466.6,67
2180,25,7492.8,71
2190,25,7515.4,78
2200,25,7546.4,78
2210,25,7577.4,78
2220,25,7610.8,76
2230,25,7655.0,65
2240,25,7688.4,63
2250,25,7713.4,68
2260,25,7733.6,77
2270,25,7769.4,73
2280,25,7807.6,67
2290,25,7845.8,61
2300,25,7885.2,54
2310,25,7912.6,57
2320,25,7937.6,62
2330,25,7960.2,69
2340,25,7992.4,68
2350,25,8030.6,62
2360,25,8060.4,63
2370,25,8089.0,65
2380,25,8108.0,75
2390,25,8139.0,75
2400,25,8170.0,75
2410,25,8207.0,70
2420,25,8230.8,76
2430,25,8259.4,78
2440,25,8288.0,80
2450,25,8325.0,75
2460,25,8356.0,75
2470,25,8388.2,74
2480,25,8420.4,73
2490,25,8447.8,76
2500,25,8481.2,74
2510,25,8512.2,74
2520,25,8550.4,68
2530,25,8582.6,67
2540,25,8618.4,63
2550,25,8643.4,68
2560,25,8668.4,73
2570,25,8695.8,76
2580,25,8736.4,68
2590,25,8759.0,75
2600,25,8796.0,70
2610,25,8827.0,70
2620,25,8848.4,78
2630,25,8883.0,75
2640,25,8921.2,69
2650,25,8949.8,71
2660,25,8964.0,85
2670,25,8991.4,88
2680,25,9021.2,89
2690,25,9053.4,88
2700,25,9080.8,91
2710,25,9108.2,94
2720,25,9140.4,93
2730,25,9171.4,93
2740,25,9214.4,83
2750,25,9241.8,86
2760,25,9278.8,81
2770,25,9314.6,77
2780,25,9350.4,73
2790,25,9377.8,76
2800,25,9404.0,80
2810,25,9433.8,81
2820,25,9455.2,89
2830,25,9483.8,91
2840,25,9524.4,83
2850,25,9543.4,93
2860,25,9561.2,104
2870,25,9594.6,102
2880,25,9625.6,102
2890,25,9665.0,95
2900,25,9706.8,86
2910,25,9742.6,82
2920,25,9777.2,79
2930,25,9802.2,84
2940,25,9839.2,79
2950,25,9877.4,73
2960,25,9896.4,83
2970,25,9927.4,83
2980,25,9951.2,89
2990,25,9981.0,90
3000,25,10008.4,93
3010,25,10043.0,90
3020,25,10086.0,80
3030,25,10120.6,77
3040,25,10156.4,73
